MODIFIED ROUTE: 
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10
west to 00
north to 01
east to 11
south two 10

